sub,intervention,valence,arousal,willingness,change,stay_home,mean_behavior,bfi_extraversion,bfi_neuroticism
1,threat,-219,233,100,51,100,80,2.6666666666666665,3
1,prosocial,52,203,67,66,100,80,2.6666666666666665,3
2,threat,-217,223,100,0,75,86.6,3.6666666666666665,3.8333333333333335
2,prosocial,179,221,100,49,75,86.6,3.6666666666666665,3.8333333333333335
3,threat,-163,-13,71,31,69,85.4,3.5,2.5
3,prosocial,-153,-240,59,1,69,85.4,3.5,2.5
4,threat,-206,193,92,48,86,86.2,4.166666666666667,1.1666666666666667
4,prosocial,213,201,96,70,86,86.2,4.166666666666667,1.1666666666666667
5,threat,-225,235,80,20,90,78,1.3333333333333333,4.5
5,prosocial,172,225,100,30,90,78,1.3333333333333333,4.5
6,threat,-63,-89,70,70,70,83,2.6666666666666665,3.8333333333333335
6,prosocial,112,98,60,60,70,83,2.6666666666666665,3.8333333333333335
7,threat,-205,80,92,81,95,93.8,3.5,2.5
7,prosocial,-108,-64,91,31,95,93.8,3.5,2.5
8,threat,-122,68,70,81,86,93.8,2.6666666666666665,2.6666666666666665
8,prosocial,76,-52,80,80,86,93.8,2.6666666666666665,2.6666666666666665
9,threat,0,207,100,0,95,98,2.1666666666666665,2.3333333333333335
9,prosocial,223,6,100,0,95,98,2.1666666666666665,2.3333333333333335
10,threat,-235,217,88,92,81,89.2,2.3333333333333335,3.1666666666666665
10,prosocial,203,147,83,79,81,89.2,2.3333333333333335,3.1666666666666665
11,threat,-244,244,100,0,100,100,4.333333333333333,2.6666666666666665
11,prosocial,4,2,100,0,100,100,4.333333333333333,2.6666666666666665
12,threat,-157,157,73,37,39,57.6,2.3333333333333335,1.5
12,prosocial,175,75,64,33,39,57.6,2.3333333333333335,1.5
13,threat,-74,166,82,60,79,80.4,2.5,2.3333333333333335
13,prosocial,61,114,88,59,79,80.4,2.5,2.3333333333333335
14,threat,-221,195,100,70,90,98,4.333333333333333,1.3333333333333333
14,prosocial,199,208,100,90,90,98,4.333333333333333,1.3333333333333333
15,threat,-238,240,82,63,85,89.4,1.8333333333333333,3
15,prosocial,141,136,96,90,85,89.4,1.8333333333333333,3
16,threat,-197,117,100,0,100,100,1.8333333333333333,4.666666666666667
16,prosocial,189,91,100,0,100,100,1.8333333333333333,4.666666666666667
17,threat,-209,-226,90,15,76,66,2.6666666666666665,1.5
17,prosocial,163,99,78,59,76,66,2.6666666666666665,1.5
18,threat,-94,198,100,0,100,98.6,2.8333333333333335,3.1666666666666665
18,prosocial,208,170,100,0,100,98.6,2.8333333333333335,3.1666666666666665
19,threat,-181,31,90,10,90,89.8,1.3333333333333333,3.1666666666666665
19,prosocial,13,137,90,86,90,89.8,1.3333333333333333,3.1666666666666665
20,threat,0,0,100,0,100,100,2,4
20,prosocial,200,89,100,100,100,100,2,4
21,threat,-164,180,97,51,97,92.8,3.5,3.5
21,prosocial,94,-4,100,51,97,92.8,3.5,3.5
22,threat,-246,189,100,82,100,100,1.6666666666666667,4
22,prosocial,132,51,100,40,100,100,1.6666666666666667,4
23,threat,-218,1,81,91,72,92.8,2.5,1.1666666666666667
